question,answer,tags
Imihango isanzwe igira igihe kingana gute?,"Bikunze kumara iminsi 3 kugeza kuri 7, kandi hagati y'imihango habamo iminsi 21–35. Iyo bitandukanye cyane n'ibi, ushobora kugisha inama muganga.",
Ibimenyetso byo gusama ni ibihe?,"Ibimenyetso bishobora kuba kuruka cyangwa iseseme, kunanirwa, amabere ababaza, gusinzira cyane, no gutinda k'ukwezi. Kugirango wemeze, ikizamini cya nyababyeyi (pregnancy test) kirafasha.",
Nigute nagabanya kuribwa mu mihango?,"Gerageza kunywa amazi menshi, kuruhuka, gukora imyitozo yoroshye, gushyushya mu nda (hot water bottle), no gufata imiti igabanya ububabare nko mu byemewe na muganga. Niba biremereye cyane, jya kwa muganga.",
Ni ryari nakwiye gukora ikizamini cyo gusama?,"Ni byiza kugikora nyuma y'uko imihango itinze nibura umunsi 1–7. Kora ikizamini mu gitondo cya kare, kuko hormone hCG iba hejuru mu nkari za mu gitondo.","pregnancy test,gusama"
Ni iki nakora ngo nshyigikire umwana uvutse?,"Mu minsi ya mbere, umwana akeneye konswa kenshi, isuku, urukundo n'uburinzi. Komeza gukurikirana ibiro by'umwana, imvaccination, no kugisha inama abajyanama b'ubuzima.",
Konsa kenshi bikwiriye gute?,"Mu byumweru bya mbere, konsa buri masaha 2–3 cyangwa iyo umwana agaragaje inzara. Reba ko umwana afata neza ibere kandi yumva aruhutse nyuma yo konsa.",
Ni ibihe biribwa byiza ku mugore utwite?,"Fungura indyo yuzuye: imboga n'imbuto, ibinyampeke bitunganyije, ibinyamafufu (ibishyimbo, amata, amagi, inyama zitetse neza), amazi ahagije, na fer (iron) na folic acid nk'uko byerekanwa n'abaganga.",
Ni ryari nkwiye kwitaba muganga mu gihe ntwite?,"Uvuze cyangwa ugaragaje: kubyimba bikabije, kuribwa mu nda gukomeye, amaraso ava mu gitsina, umutwe ukabije, kutabona neza, cyangwa umwana ntakombere nk'uko bisanzwe. Jya kwa muganga ako kanya.",
Igihe cy'uburumbuke gishingiye kuki?,"Akenshi kigerwaho mu minsi 12–16 mbere y'uko imihango ikurikira iza, mu gihe habaho ovulation. Kubara neza bisaba kumenya isanzwe ry'igihe cyawe.",
Nigute narera umwana neza mu mezi 6 ya mbere?,"Konsa gusa (exclusive breastfeeding) niba bishoboka, gukingiza ku gihe, isuku n'umutekano, kuryama atekanye, gukurikirana ibiro n'iterambere by'umwana kwa muganga.",
Ni iki gikwiye kwitabwaho mu gihe cy'imihango?,"Isuku (gukoresha pads cyangwa ibikoresho by'isuku byizewe), guhindura kenshi, kunywa amazi, kuruhuka, no kwirinda imiti idasobanutse n'ikangiza. Niba amaraso ari menshi cyane, jya kwa muganga.",
Ese imihango burigihe iza nyuma y iminsi 28?,"Oya, Impuzandengo ni iminsi 28, ariko bishobora kuba hagati y’iminsi 21–35. Buri mugore agira ikigero cye cyihariye kandi gishobora guhinduka bitewe n’imyaka, stress, indwara nibindi.",
"hey,Muraho,hello,amakuru,Bite,ndashaka kukubaza",Muraho neza! nitwa KosmoBot umufasha mukugufasha kumenya ubuzima bw'imyororokere n'ubwumubyeyi n'umwana.,"greetings,gusuhuza"
"Ese koga amazi akonge bituma imihango ihagarara?,Amazi akonje ahagarika imihango?",Oya. Koga amazi akonje ntibihagarika imihango.,
Ese kuki umuntu aba ajya mu mihango ariko ntabyare?,"Impamvu umuntu ashobora kujya mu mihango ariko ntabyare ni uko kujya mu mihango (menstruation) no gusama/gutwita (pregnancy) atari ibintu bihuza 100%. Hari impamvu nyinshi zishobora gutuma umuntu adasama:
·  Kudahuza neza igihe cyo gukora imibonano n’igihe intanga ngore isohokera.
·  Intanga ngabo zidashoboye kugera aho zikwiriye.
·  Imiyoboro y’intanga ngore (fallopian tubes) ifunze cyangwa ifite ikibazo.
· Indwara nka PCOS, endometriosis, cyangwa ibibazo by’imisemburo,
Stress, imirire idahagije, cyangwa ubuzima bw’umubiri butameze neza.",
"Ese umuntu ashobora gukora imyitozo ngororamubiri mugihe ari mumihango?,gukore sport uri mumihango nibyiza?,ase umuntu yakora sport ari mumihango?, ndashaka gukora sport ariko ndi mumihango nibyiza?","Yego, Birashoboka gukora  imyitozo ngororamubiri kuko ifasha kugabanya ububabare (cramps), igabanya stress, no gutuma wumva utuje. Gusa umuntu ashobora guhitamo imyitozo yoroshye nk’uguhina umubiri, kugenda n’amaguru, yoga cyangwa kwiruka buhoro.",
"Umuntu ashobora gutwita mugihe ari mu mihango?,ko ndi mumihango ubu nasama?,gutwita uri mumihango nibyo?,gusama uri mumihango nibyo?,","yego, birashoboka ko umuntu ashobora gutwita ari mu mihango mu gihe akoze imibonano mpuzabitsina idakingiye.  Biterwa n’uko intanga ngore ishobora gusohoka vuba nyuma y’imihango, kandi intanga ngabo (sperm) ishobora kumara iminsi 5 mu mubiri. Bityo, gukora imibonano mu mihango bishobora gutuma utwita niba igihe cy’uburumbucye kibaye vuba.",
"Kuki ndibwa mu nda mu gihe k’ imihango?,kuribwa mu nda ndi mumihango biterwa niki?,kuberiki munda hari kurya kandi ndi mumihango?",Impamvu nyamukuru ituma umukobwa cyangwa umugore aribwa mu nda mu gihe cy’imihango (dysmenorrhea) ni uko umubiri uba uri gukora umusemburo witwa prostaglandins. Uyu musemburo utuma imitsi ya nyababyeyi yikanyiza(Cramps) kugirango ibashe gusohora amaraso ave muri nyababyeyi. Bigatuma wumva ubu babare.,kuribwa munda
"Ni ryari umukobwa atangira kujya mu mihango?, imihango itangira ryari?","Akenshi abakobwa batangira kujya mu mihango hagati y’imyaka 11–14. Ariko bishobora gutangira kare ku myaka 9, cyangwa bigatinza bikagera no ku myaka 15–16, kandi byose biba bisanzwe mu gihe nta bundi burwayi bubiherekeje.",
ese umukobwa ajya mumihango ryari?,"Akenshi abakobwa batangira kujya mu mihango hagati y’imyaka 11–14. Ariko bishobora gutangira kare ku myaka 9, cyangwa bigatinza bikagera no ku myaka 15–16, kandi byose biba bisanzwe mu gihe nta bundi burwayi bubiherekeje.",
Ukwezi k’ umugore ni iki?,Ukwezi k’umugore gutangira ku munsi wambere wi mihango ku karangira ku munsi ubanziriza imihango yukwezi gukurikiyeho.,
What is ovulation?,"Umunsi wuburumbucye  ni kimwe mu gice cy’ukwezi k’umugore aho intanga ngore iba imaze gukura isohoka mu gahago kayo  (ovary) ikajya mu muyoboro (fallopian tube), aho ishobora guhura n’intanga ngabo.",
Umunsi w’ uburumbuke aba ari uwuhe mu kwezi ku umukobwa?,"Igihe Cy’uburumbucye  gitandukana bitewe n’uko ukwezi ku mugore kureshya.
Umunsi w’uburumbucye ukunze kuba ku munsi wa 14 mbere y’uko imihango ikurikira itangira.
·         Mu kwezi kw’iminsi 30, umunsi  wuburumbucye waba ari  umunsi wa 16.
·         Mu kwezi kw’iminsi 26, umunsi wuburumbucye waba ari uwa  12.",
Imihango isanzwe iba ingana ite?,"1.Ingano  y’imihango tuyibara tugendeye kubintu bitatu aribyo, ubwinshi bw’amaraso asohoka igihe bimara ni inshuro bibaho mu kwezi.
 a. Ubwinshi (Volume): Akenshi hasohoka hagati ya mililitiro 30–80 mu gihe cy’imihango yose. Munsi ya 30 mL biba ari bike (light), hejuru ya 80 mL bishobora kuba byinshi (heavy).
 b. Igihe (Duration): Akenshi imihango imara iminsi 3–7. Kuba igufi cyangwa igahoraho gato kurenza ibyo nabyo birashoboka kandi ntibihita biba ikibazo.",
Imihango imara iminsi ingahe ubusanzwe?,Imihango ubusanzwe imara hagati y’iminsi 3–7. Ariko ishobora kuba mike cyangwa myinshi bikaba bisanzwe ntakibazo. Urugero nku muntu utangiye kujya mu mihango bwambere ashobora kuyijyamo iminsi ibiri gusa.,
"Ni ibihe bimenyetso bya mbere byo gutwita?,ibimenyetso byo gutwika nibihe?,namenya gute ko nwite?","1. Kubura imihango
2. Isesemi
3. Kuruka
4. Kuribwa/kubyimba amaberi
5. Gushaka cyane kurya ikintu runaka cyangwa kwanga kurya ikintu runaka
6. Kunyaragura
7. Kumva unaniwe",
"Ni incuro zingahe umugore utwite asabwa kujya kwipimisha inda (ANC),Kwipimisha inda bikorwa kangahe?","WHO iteganyako umugore utwite agomba kubonana na muganga / gupimisha inda(ANC)
byibura inshuro 8 mbere yu uko abyara kugirango ubuzima bw’umubyeyi nu mwana
bugende neza.",
"Kubera iki gupimisha inda(ANC) ari ingenzi ?,Ese gupimisha inda ningombwa?","Yego,gukupimisha inda ningenzi.
Bifasha gukurikirana ubuzima bw’ümubyeyi nu mwana, bikumira ibibazo bishobora
kuvuka mugihe cyo gutwita, kubyara na nyuma yo kubyara, no gutanga inyigisho k’
ubuzima.",
"Ni ibihe biryo umugore utwite yemerewe kurya ni ibyo atemerewe kurya ?,Iyo utwite urya iki?","Umugore utwite aba agomba kurya indyo yuzuye irimo imbuto, imboga, poroteyine, n’ibinyampeke byose.
 Irinde
inzoga, inyama zidatunganyijwe neza, ikawa nyinshi, n’amata apfuye (atapimwe).",
Ni ibihe bimenyetso mpuruza umugore utwite agomba kw’itondera?,"ibimetso muruza umugore agomba kw'itondera ni:
1. Kuribwa umutwe cyane
2. Kureba ibicyezi cyezi
3. Kuvira kunda
4. Kuribwa munda cyane
5. Kugenda gacye k’ umwana mu nda.
6. Kugagara
7. Kubyimba Ibirenge, mu maso, n’ibiganza.
8. Isesemi no kuruka bikabije
9. Umuriro mwinshi no gucika intege.",
Ni iki umugore utwite yakora ngo yirinde kugira amaraso macye?,"1.Ni ukurya ibiryo bikungahaye ku butare bwa Fer (Iron) nk’inyama, ibishyimbo, imbuto
z’icyatsi kibisi, n’ibinyampeke byose.
2. Kunywa ibinini bya fer (iron supplements) byatanzwe n’umuganga.
3. Kwisuzumisha ingano ya haemoglobin iri mu maraso buri uko ugiye gupimisha inda
(ANC visits).
4. Kurya indyo irimo vitamine C: Ifasha umubiri gufata Fer neza, nk’imbuto z’icunga,
imineke, cyangwa poivron.",
"Ni izihe ngaruka za Malariya ku mugore utwite?,Ingaruka za malariya ku mugore utwite?","Ingaruka ni :
1. Kubura amaraso (anemia) ku mugore utwite.
2. Umubyeyi ashobora kurwara cyane cyangwa akitaba Imana.
3. Umwana ashobora kuvuka atarageza igihe (premature birth) cyangwa agapfira mu nda
(Still birth).
4. Umwana ashobora kuvukana ibiro bike (low birth weight).
5. Gukuramo inda (Abortion or miscarriage)",
